岗位名称,公司,城市,国家,区域,最低薪资,最高薪资,薪资货币,岗位类别,JD全文,软性要求,技能标注,来源类型,来源名称,来源链接,采集日期,提交时间,同意状态,数据质量
Agent开发工程师（2027届秋招）（MJ036607）,携程集团,上海,中国,上海,,,,Agent,"Agent开发工程师（2027届秋招）（MJ036607）

上海应届校招生人工智能与商业智能2026-08-25

职位描述

招聘对象：本、硕、博。

毕业时间：2026 年 9 月至 2027 年 8 月期间毕业（中国大陆以毕业证为准，非中国大陆地区以教育部学位认证为准）且最高学历毕业后无全职工作经验的学生。



你将会负责：

1. 参与Agent应用工程开发，完成AI产品的上线;

2. 参与Agent基础开发框架的建设，确保系统的稳定性和扩展性;

3. 参与Agent记忆系统的设计和实现，保证Agent上下文的一致性;

4. 参与Agent评测、观测等能力建设，完善Agent开发生态;

5. 参与Agent注册、管理、发现能力的架构设计和系统开发，实现Agent的灵活部署和高效管理。



我们期望你：

1. 本科及以上学历，计算机等相关专业；

2. 拥有扎实的编程能力，熟悉Python、Java等至少一门编程语言;

3. 熟悉LangChain、LlamaIndex、CrewAI等至少一种Agent开发框架;

4. 积极使用并探索Cursor、Claude等 AI编程工具辅助开发，善于利用 AI 提升学习和工作效率;

5. 具备良好的沟通表达能力与逻辑思维能力，能够清晰准确地传达工作思路与问题，有效协调项目推进过程中的各项工作；

6. 具备团队合作精神，能够快速适应团队工作氛围，积极配合团队完成各项任务。



加分项：

1. 有独立完成AI产品原型到上线的实践经验;

2. 具备一定的前后端开发经验，具备系统性的思考视角。



你将收获：

1. 了解以及参与AI Agent从0到1的过程;

2. 深度参与AI基础设施建设以及AI应用工程研发，系统性提升AI工程能力，提升核心竞争力。",,"[{""raw_name"": ""LangChain"", ""importance"": ""must_have"", ""intensity"": ""熟悉"", ""evidence_text"": ""LangChain""}, {""raw_name"": ""Python"", ""importance"": ""must_have"", ""intensity"": ""熟悉"", ""evidence_text"": ""Python""}, {""raw_name"": ""CrewAI"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""CrewAI""}, {""raw_name"": ""AI Coding"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""Cursor""}, {""raw_name"": ""Java"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""Java""}]",public_job_page,company_career_page,https://careers.ctrip.com/#/campus/job-detail/MJ036607?sourceTag=508457f3,2026-08-31,,none,human_reviewed
软件开发（AI方向）,奔图科技,广东省珠海市,中国,,,,,LLM全栈,"软件开发（AI方向）/职能中心（2027届）(J16074)
校园招聘
全职
广东省·珠海市
2026-08-25 发布
工作职责
1.负责企业级AI Agent应用的设计与开发，完成任务规划、工作流编排、记忆管理、工具调用、多Agent协同及人工确认等核心能力建设；
2.负责企业知识库及RAG能力建设，包括文档解析、数据清洗、知识切分、向量检索与持续优化；
3.负责Tool、Skill、MCP等AI工具链开发，通过API对接HR、OA等业务系统，推动Agent从信息问答向业务执行和任务闭环延伸；
4.负责AI平台相关功能开发，包括Agent管理、工作流配置、知识库管理、模型接入、权限控制、日志监控及运行管理等；
5.深入业务场景开展需求分析和方案设计，完成编码开发、接口联调、测试验证、部署上线及问题处理，保障项目按计划交付；
6.持续跟踪大模型及Agent领域技术发展，开展技术预研、模型评测和方案验证，沉淀可复用的技术组件、开发规范及最佳实践。
任职资格
1.本科及以上学历，计算机、软件工程、人工智能等相关专业，英语四级及以上，有实习、毕业设计、竞赛或开源项目经验者优先；
2.具备扎实的计算机基础，熟练掌握Python、Java中至少一门开发语言，熟悉常用开发框架，具备数据库设计、接口开发、代码调试及问题排查能力；
3.掌握数据结构、算法、操作系统、计算机网络、数据库及软件工程等基础知识，具备规范化的软件设计与开发意识；
4.了解大语言模型、Agent、RAG、Embedding、向量数据库等相关技术；
5.具备完整的软件项目实践经历，能够独立完成需求理解、技术设计、功能开发、测试验证和技术文档编写；
6.具备较强的学习能力、逻辑分析能力、问题解决能力和团队协作意识，能够适应AI技术快速迭代，并对工作成果和项目交付负责。",,"[{""raw_name"": ""Python"", ""importance"": ""must_have"", ""intensity"": ""熟练"", ""evidence_text"": ""Python""}, {""raw_name"": ""Milvus"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""向量数据库""}, {""raw_name"": ""Chroma"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""向量数据库""}, {""raw_name"": ""Qdrant"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""向量数据库""}, {""raw_name"": ""Java"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""Java""}, {""raw_name"": ""Function Calling"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""工具调用""}, {""raw_name"": ""RAG"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""RAG""}, {""raw_name"": ""MCP"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""MCP""}]",public_job_page,company_career_page,https://ninestar.zhiye.com/campus/detail?jobAdId=56b05783-cc1c-4f5d-a164-e4f459abb5f5,2026-08-31,,none,human_reviewed
AI全栈开发工程师,快手,北京,中国,,,,,AI全栈,"AI全栈开发工程师
急招

全职
工程类 - 服务端
北京、杭州
2026-08-31
职位描述
1、借助AI编程工具，打破前端、后端、客户端的传统分工边界，端到端参与产品功能的开发与迭代——覆盖数据层、服务端到Web与移动端各层，在真实项目中全面打磨技术栈；
2、深度使用AI编程工具，大幅提升开发效率，把精力从重复编码转向架构设计与业务价值实现，快速验证想法、推动功能高效迭代与落地；
3、面向真实业务场景解决问题：提升核心业务指标、改进系统性能、保障线上稳定性，产出直接运行于生产环境、服务真实用户；
4、在编码、重构、Bug排查等高频环节中持续把AI工具用作常规起点，拥有""先复核、再采用""的习惯。
任职要求
1、计算机科学、软件工程、人工智能等相关专业优先；
2、熟悉至少一门编程语言（如Java/Go/Python/Kotlin/Swift/TypeScript等），具备扎实编程基础，了解常见数据结构与算法，能独立完成代码编写与调试；
3、习惯将AI编程工具作为日常编码的默认起点，用于代码生成、重构、Bug排查等高频场景；能对AI产出做基础复核（能跑通、能发现明显错误），并愿意持续提升对代码质量与工作流的判断力；
4、在后端、Web前端、安卓客户端、iOS客户端任一「端」具备基础、有相关开发实践，并愿意借助AI工具拓展到其他端。

加分项
1、有AI相关项目、开源贡献或互联网公司实习经历；
2、具备跨学科思维，能将AI/工程能力与其他领域知识结合，产出创新应用。",,"[{""raw_name"": ""Python"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""Python""}, {""raw_name"": ""Java"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""Java""}, {""raw_name"": ""AI Coding"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""AI编程""}]",public_job_page,company_career_page,https://campus.kuaishou.cn/recruit/campus/e/#/campus/job-info/13185,2026-09-01,,none,human_reviewed
27届秋招-自动驾驶-AI Agent工程师,滴滴,北京,中国,,,,,AI Agent,"27届秋招-自动驾驶-AI Agent工程师
分享
全职|工程-后端类|自动驾驶|北京市
发布于 2026-08-13
申请职位
职位描述
岗位职责：
我们正在寻找一位对自动驾驶技术与云原生架构充满热情的后端工程师。如果你渴望参与构建下一代自动驾驶研发工具链，推动AI Agent在仿真与可视化平台中的落地，并与顶尖团队共同探索自动驾驶的未来基础设施，那么这里正是你发挥才华的舞台。

1、构建和迭代自动驾驶研发工具链的核心服务，为算法、仿真、数据等团队提供高效、稳定、可扩展的基础设施支持；
2、深入参与云原生技术栈在自动驾驶系统中的落地，推动系统向容器化、服务化、自动化方向演进；
3、探索AI Agent在工具链与仿真系统中的创新应用，提升研发流程的自动化与智能化水平。

任职要求：
1、2027届毕业生，本科及以上学历，计算机或相关专业优先，具备扎实的编程与系统设计基础；
2、熟练掌握至少一门后端开发语言（Go/Python/C++等），具备良好的数据结构和算法能力；
3、深入理解Linux系统、网络协议（TCP/IP/HTTP）及高性能服务开发；
4、熟悉常见数据库（SQL/NoSQL）的使用与优化，具备阅读和借鉴优秀开源项目的能力；
5、具备强烈的自驱力、学习能力和技术热情，能主动推动项目进展与系统优化；
6、良好的团队沟通与协作意识，能与跨职能团队高效配合。",,"[{""raw_name"": ""Linux"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""Linux系统""}, {""raw_name"": ""Python"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""Python""}, {""raw_name"": ""网络协议"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""TCP/IP""}, {""raw_name"": ""C++"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""C++""}, {""raw_name"": ""SQL"", ""importance"": ""must_have"", ""intensity"": ""熟悉"", ""evidence_text"": ""SQL""}, {""raw_name"": ""Go"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""Go""}, {""raw_name"": ""Docker"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""容器化""}]",public_job_page,company_career_page,https://app.mokahr.com/campus-recruitment/didiglobal/96064?sourceToken=888e40714f4c681a93aa90f794f392cb#/job/63fe8fea-8acb-4516-89ed-512430d9ccdb,2026-09-01,,none,human_reviewed
AI平台开发工程师-训推平台,小米,武汉,中国,,,,,AI平台,"AI平台开发工程师-训推平台
武汉校招正式软件研发类2027届校园招聘计划
职位描述
1、参与AI平台K8S训练和推理组件的架构设计、产品开发；
2、参与AI模型大规模分布式训练和推理架构和可观测性设计和开发；
3、参与大语言模型预训练和后训练，分布式推理技术调研和测试。
职位要求
1、计算机相关专业本科及以上学历在读，具备扎实的计算机理论基础；
2、熟悉Python/C++/Golang等其中一种编程语言，有熟练的Shell脚本编写技能；
3、有强烈的上进心，自我驱动，学习适应能力强，乐观自信，能挑战自我不断追求卓越；
4、有强烈的责任心和团队精神，善于沟通和合作；
5、熟悉Kubernetes和容器相关技术，并了解其功能特性；熟悉常用的深度学习和推理框架如pytorch, ray, vllm, sglang等优先",,"[{""raw_name"": ""Kubernetes"", ""importance"": ""must_have"", ""intensity"": ""熟悉"", ""evidence_text"": ""Kubernetes""}, {""raw_name"": ""PyTorch"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""pytorch""}, {""raw_name"": ""Python"", ""importance"": ""nice_to_have"", ""intensity"": ""熟悉"", ""evidence_text"": ""Python""}, {""raw_name"": ""Go"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""Golang""}, {""raw_name"": ""Shell 脚本"", ""importance"": ""must_have"", ""intensity"": ""熟练"", ""evidence_text"": ""Shell""}, {""raw_name"": ""vLLM"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""vllm""}, {""raw_name"": ""C++"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""C++""}]",public_job_page,company_career_page,https://xiaomi.jobs.f.mioffice.cn/campus/position/7680394017603356978/detail?spread=J7NS6YR,2026-09-01,,none,human_reviewed
【校招】AI算法工程师,乐元素,暂无,中国,,,,,AI算法,"【校招】AI算法工程师
分享
全职
发布于 2026-08-19
申请职位
职位描述
工作职责：

负责游戏研发场景下多模态内容（涵盖动画、3D模型、2D图像等）生成算法的落地与深度应用。探索并实现AIGC技术，将其转化为提升游戏生产力及玩家交互体验的实际解决方案；

针对多模态内容的生成需求，主导构建数据集、数据预处理流水线及算法配套工具。负责搭建从模型训练、逻辑评估到工程化部署的标准化工作流程；

研究多模态感知、角色动画生成、3D网格重建/处理、贴图生成等技术，针对项目特有的艺术风格和性能需求，进行算法定制与推理优化，确保生成内容符合生产标准；

与美术、程序团队紧密协作，深度介入游戏制作全生命周期。识别并解决生产管线中的痛点问题，通过AI手段消除技术瓶颈，提升各职能团队的开发效率；

持续跟踪领域前沿技术；

岗位要求：

计算机、人工智能、数学或统计等相关专业，具备扎实的算法理论与数学功底；

精通PyTorch/TensorFlow，深度理解主流生成式模型（动画/3D/2D）原理，熟练掌握模型训练、微调及推理优化；

熟悉角色动画生成、3D网格处理或游戏美术建模者优先；

有AI+游戏研发提效的相关经验者优先；",,"[{""raw_name"": ""TensorFlow"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""TensorFlow""}, {""raw_name"": ""PyTorch"", ""importance"": ""nice_to_have"", ""intensity"": ""精通"", ""evidence_text"": ""PyTorch""}, {""raw_name"": ""推理优化"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""推理优化""}, {""raw_name"": ""多模态"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""多模态""}, {""raw_name"": ""SFT/LoRA"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""微调""}]",public_job_page,company_career_page,https://app.mokahr.com/campus-recruitment/leyuansu/166186?locale=zh-CN#/job/99f69044-58e0-456a-bde3-31ef9d18baf3,2026-09-01,,none,human_reviewed
平台研发-后端开发工程师（AI 应用方向）全职,米哈游,上海,中国,,,,,AI应用,"平台研发-后端开发工程师（AI 应用方向）全职
上海
程序&技术类
2027届（2026.9-2027.8之间毕业）
工作职责
1.面向用户增长业务，深度参与业务讨论，探索 AI 技术在各场景的落地机会，构建提升业务效率和效果的 AI 能力；
2.挖掘游戏玩家核心需求，与产品、运营团队协作，打造面向玩家的 AI 创新体验产品；
3.负责 Agent 应用的性能与稳定性优化，确保系统在高并发场景下的可靠运行；
4.设计并实现易用高效的 Agent 开发周边工具套件，提升研发效率，降低 Agent 技术的使用门槛，保障交付质量。
任职要求
1.计算机或相关专业本科及以上学历；
2.热爱计算机科学和互联网技术，至少熟练掌握一门后端编程语言，包括但不限于：C、C++、Go、Python、Java 等；
3.深度使用 AI 编程工具（如 Claude Code、Codex、Cursor、OpenCode 等），能够高效利用 AI 辅助开发；
4.具备扎实的后端工程能力，熟悉常用数据库设计与优化（MySQL/Redis 等），了解分布式系统基本原理，有服务接口设计与高可用实践经验；
5.具备较强的问题拆解、快速学习和实验迭代能力，能够在不确定的需求和技术环境中持续推进方案落地；
6.具备良好的跨团队协作能力，能够理解产品、业务等非工程角色的需求，并推动技术实现；
7.对大语言模型、Agent 技术的基本原理、应用方式和能力边界有一定理解。
加分项
1.有 LLM、Agent、RAG、工具调用、多智能体等相关项目经验；
2.有高并发C端项目后端工程项目经验；
3.有研发提效工具、代码生成、自动化测试或 AI 工具链相关经验；
4.有借助 AI 能力独立完成全栈项目并落地上线的经验。",,"[{""raw_name"": ""Python"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""Python""}, {""raw_name"": ""AI Coding"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""Cursor""}, {""raw_name"": ""MySQL"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""MySQL""}, {""raw_name"": ""Redis"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""Redis""}, {""raw_name"": ""分布式系统"", ""importance"": ""nice_to_have"", ""intensity"": ""了解"", ""evidence_text"": ""分布式系统""}, {""raw_name"": ""Java"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""Java""}, {""raw_name"": ""Function Calling"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""工具调用""}, {""raw_name"": ""多智能体协作"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""多智能体""}, {""raw_name"": ""C++"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""C++""}, {""raw_name"": ""RAG"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""RAG""}, {""raw_name"": ""Go"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""Go""}]",public_job_page,company_career_page,https://jobs.mihoyo.com/?channelToken=xz2037b7d4-68d44f5a8ebc-0edf28e17574#/campus/position/9250,2026-09-01,,none,human_reviewed
AI全栈开发工程师,联想,北京,中国,,,,,AI全栈开发,"AI全栈开发工程师

应届生招聘AI开发类所属部门：China Geo北京,天津,成都
岗位职责
1.参与AI应用核心功能的需求分析、方案设计与开发实施，覆盖客户端、服务端、Web前端及端侧应用等多个技术方向，在项目实践中持续提升全栈开发能力。
2.借助AI Coding等智能开发工具参与软件研发全流程工作，包括需求理解、方案设计、编码实现、测试优化及版本迭代，不断提升工程实践能力和交付效率。
3.深度参与产品需求讨论与功能设计，与产品、设计、测试等跨职能团队紧密协作，共同推动产品高质量落地。
4.参与AI Agent、智能体应用等创新技术场景的研究与实践，推动AI技术在实际业务中的应用与创新。
5.探索AI时代的软件开发新模式，参与AI研发工作流建设与优化，持续提升研发效率和工程质量。

任职要求
1.毕业时间为2026年9月至2027年8月的海内外应届毕业生，计算机科学、软件工程、人工智能、电子信息等相关专业优先。
2.具备扎实的计算机基础知识，熟悉计算机网络、数据结构与算法等核心内容，至少熟练掌握一门编程语言（如Java、Python、Go、C++等），具备良好的编码规范与代码设计能力。
3.对AI技术及相关产品具有浓厚兴趣，认可AI驱动的软件研发方式，并能够主动利用AI工具提升学习与开发效率。
4.具备以下至少一个方向的开发基础：
• Web开发（如HTML、CSS、JavaScript、TypeScript、Vue、React等）;
• 服务端开发（如Java、Python、Go等）;
• 客户端或端侧开发（如Android、C/C++、C#等）。
5.具备良好的学习能力，能够快速掌握新技术，并愿意借助AI工具持续拓展跨技术栈开发能力。
6.具备较强的责任心、沟通协调能力和团队合作意识，能够主动理解业务需求，并与不同角色高效协同推进项目落地。",,"[{""raw_name"": ""JavaScript"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""JavaScript""}, {""raw_name"": ""TypeScript"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""TypeScript""}, {""raw_name"": ""AI Coding"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""AI Coding""}, {""raw_name"": ""Python"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""Python""}, {""raw_name"": ""ReAct"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""React""}, {""raw_name"": ""Java"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""Java""}, {""raw_name"": ""C++"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""C++""}, {""raw_name"": ""Go"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""Go""}, {""raw_name"": ""C#"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""C#""}]",public_job_page,company_career_page,https://talent.lenovo.com.cn/position/detail?id=2403,2026-09-01,,none,human_reviewed
AI Agent开发工程师,联想,北京,中国,,,,,agent_dev,"AI Agent开发工程师

应届生招聘AI开发类所属部门：China Geo北京
岗位职责
1.参与AI Agent核心能力建设，包括任务规划、工具调用、记忆管理、多Agent协同等关键能力的设计与开发，参与Agent Runtime、上下文管理、任务调度及工作流编排等核心模块建设，在实际项目中持续提升工程开发能力。
2.参与大模型与Agent系统的工程化开发与优化，实现模型调用、流式交互、工作流编排、结构化输出、异步任务处理等核心能力，推动Agent系统基础能力持续演进。
3.参与Agent工具生态与Skill体系建设，推动Agent与搜索、知识库、业务系统及外部服务的连接与协同，不断提升智能体解决复杂任务的能力。
4.与产品、算法、架构等团队紧密合作，将AI Agent相关需求转化为稳定、高质量、可维护的工程方案，持续优化系统性能、可靠性和可扩展性。
5.持续关注大模型、AI Agent及相关技术领域的发展趋势，探索新框架、新协议及新工程范式在实际业务场景中的创新应用。

任职要求
1.毕业时间为2026年9月至2027年8月的海内外应届毕业生，计算机科学、软件工程、人工智能、自动化、数学等相关专业优先。
2.熟悉Python、Java、Go等至少一门编程语言，具备良好的编程能力、工程实践意识及代码质量意识。
3.掌握数据结构与算法、计算机网络、操作系统、数据库等计算机基础知识，具备扎实的软件开发基础。
4.对AI Agent和大模型技术具有浓厚兴趣，愿意主动学习和探索AI原生应用开发，并持续关注相关技术发展与行业趋势。
5.具备良好的学习能力、问题分析与解决能力，以及团队协作和沟通能力，能够主动定位并解决实际开发过程中的问题。
6.了解AI Agent系统的基本架构与核心能力，对任务规划、工具调用、上下文管理、记忆机制等方向具有一定理解。
7.具备AI Agent、RAG、多Agent协作等相关项目实践经验，或了解LangChain、LangGraph、AutoGen等Agent开发框架;具有开源项目、技术博客、科研成果等相关经历者优先。

工作地点",,"[{""raw_name"": ""LangChain"", ""importance"": ""nice_to_have"", ""intensity"": ""了解"", ""evidence_text"": ""LangChain""}, {""raw_name"": ""LangGraph"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""LangGraph""}, {""raw_name"": ""多智能体协作"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""多Agent协作""}, {""raw_name"": ""AutoGen"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""AutoGen""}, {""raw_name"": ""Python"", ""importance"": ""nice_to_have"", ""intensity"": ""熟悉"", ""evidence_text"": ""Python""}, {""raw_name"": ""上下文管理"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""上下文管理""}, {""raw_name"": ""Java"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""Java""}, {""raw_name"": ""Function Calling"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""工具调用""}, {""raw_name"": ""RAG"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""RAG""}, {""raw_name"": ""Go"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""Go""}]",public_job_page,company_career_page,https://talent.lenovo.com.cn/position/detail?id=2404,2026-09-01,,none,human_reviewed
软件开发工程师（AI应用全栈开发向）(J45591),海信集团,青岛,中国,,,,,AI全栈,"软件开发工程师（AI应用全栈开发向）(J45591)
校园招聘
山东省·青岛市
软件算法类
显示事业部
2026-08-31 发布
工作职责
1.负责 AI 应用的前后端开发与集成，实现大模型 API 调用、Prompt 工程、智能体工作流等功能；
2.参与多智能体协同系统的开发与优化；
3.前端：使用 React/Vue 等现代框架，实现流畅的用户交互界面；
4.后端：使用 Node.js/Python/Go 等框架，构建高可用 API 服务；
5.数据库：负责关系型数据库和向量数据库的设计与优化；
6.主动关注 AI 领域新技术，评估并引入适合项目的工具与框架；
7.参与技术分享，编写单元测试和集成测试，确保代码质量。
任职资格
1. 硕士及以上学历，计算机、软件等相关专业；
2.技术要求：
（1）熟练掌握 JavaScript/TypeScript，深入理解异步编程；
（2）熟练掌握至少一种主流前端框架：React、Vue；
（3）熟悉前端工程化：Webpack、Vite、Rollup 等构建工具；
（4）了解前端性能优化方法；
3.具备良好的英文文档阅读能力、沟通能力和团队协作精神。",,"[{""raw_name"": ""JavaScript"", ""importance"": ""nice_to_have"", ""intensity"": ""熟练"", ""evidence_text"": ""JavaScript""}, {""raw_name"": ""TypeScript"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""TypeScript""}, {""raw_name"": ""Node.js"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""Node.js""}, {""raw_name"": ""Python"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""Python""}, {""raw_name"": ""ReAct"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""React""}, {""raw_name"": ""多智能体协作"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""多智能体""}, {""raw_name"": ""Go"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""Go""}, {""raw_name"": ""Prompt Engineering"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""Prompt""}]",public_job_page,company_career_page,https://jobs.hisense.com/Campus/jobs?activityGuid=5a5aed1e-a4f1-465d-b574-d55ac19474b8&ActivityJumpPage=PortalPage,2026-09-01,,none,human_reviewed
