id,job_category,title,company,city,salary_min,salary_max,salary_currency,source_url,skills,raw_excerpt
72,agent_dev,AI Agent 应用开发工程师-网易有道,网易有道,北京,0,1000,,https://campus.163.com/app/job/position?id=103,"Python:nice_to_have, Java:nice_to_have, JavaScript:nice_to_have, TypeScript:nice_to_have, Kotlin:nice_to_have, RAG:must_have, Prompt Engineering:nice_to_have, MCP:nice_to_have, Function Calling:must_have",AI Agent 应用开发工程师-网易有道 / 热招 / 网易互联网2027届校园招聘 / | / 北京 / | / 技术 / | / 2026-08-27 / 岗位描述 / 我们不要求你已经是成熟的 Agent 开发者。希望你在 Web、iOS、Android、Windows/macOS 等至少一种端侧开发方向具备技术长板，并愿意在入职后逐步向 Agent 应用与全栈方向发展。 / 岗位职责 / 1、负责 Agent 产品的大前端交互与应用开发，参与产品从方案设计到开发上线的完整流程。 / 2、在团队支持下学习并应用任务编排、工具调用、RAG/知识库等 Agent 技术，推动现有业务场景 Agent 化，并持续优化产品效果与体验。 / 岗位要求 / 
74,agent_dev,Agent开发工程师,海艺互娱,成都,12000,25000,CNY,https://app.mokahr.com/campus-recruitment/haiyi/150699?locale=zh-CN#/job/bd74bc54-455f-4356-927f-d006315c8f37,"Python:nice_to_have, Java:nice_to_have, Go:nice_to_have, LLM 应用开发:nice_to_have, Prompt Engineering:must_have, 上下文管理:must_have, SQL:must_have, LangGraph:nice_to_have",Agent开发工程师 / 分享 / 12 - 25 K/月|全职|研发算法类|研发|四川·成都市 / 发布于 2026-08-28 / 申请职位 / 职位描述 / 岗位职责： /  / 1、参与 AI Agent 核心能力建设，包括 Prompt 工程、Agent 开发、Harness 框架以及 Skill 技能模块开发； /  / 2、参与产品开发与系统优化，支持任务自动化、上下文管理及智能分析能力建设； /  / 3、学习并实践 Agent 系统性能优化，在多任务处理、高并发场景下积累工程实践经验； /  / 4、跟踪大模型应用与 Agent 技术发展趋势，参与技术调研、方案评估及工程落地。 /  /  /  / 任职要求： /  / 1、熟悉至少一种高级编程语言（G
78,agent_dev,资深Agent研发工程师,月之暗面,北京，上海,,,,https://app.mokahr.com/apply/moonshot/148506#/job/5c611c15-1359-4e25-8748-111ff25c8e88,"Go:must_have, MCP:must_have, Docker:must_have, Kubernetes:must_have, PostgreSQL:must_have, MySQL:must_have, Redis:must_have, Function Calling:must_have, Linux:must_have, CI/CD:must_have, gRPC:must_have, 微服务:must_have, Elasticsearch:must_have",急 / 资深Agent研发工程师 / 分享 / 全职|技术类|北京市 / 发布于 2026-08-10 / 申请职位 / 职位描述 / 如果你想做的不是一次性 demo，而是真正被大规模用户持续使用、能够沉淀为核心产品能力的 AI Agent 系统——这个岗位是你的。你将参与 Kimi 最核心的 Agent 方向研发，围绕 Agent 内核、任务执行、工具生态与工程基础设施，打造一体化的产品体系。你的代码不仅支撑真实业务场景，也会成为智能产品持续演进的重要基础。 /  / 你将亲手打造： /  / 设计与开发 Agent 相关主线产品的关键特性，包括内核框架、业务逻辑、效果调优； / 建设稳定可靠的 Agent 工程基座，让复杂任务的执行过
79,agent_dev,测试开发工程师-Agent开发方向,鹰角网络,上海,,,,https://app.mokahr.com/campus-recruitment/hypergryph/26326?recommendCode=DSHEzpf4#/job/f10f4237-9230-4377-be31-cddd1b404be6,"Python:nice_to_have, Java:nice_to_have, Go:nice_to_have, C++:nice_to_have, LangChain:nice_to_have, RAG:must_have, Prompt Engineering:must_have, FastAPI:must_have, 网络协议:must_have, Spring Boot:must_have, Django:must_have, LangGraph:nice_to_have",测试开发工程师-Agent开发方向 / 分享 / 全职|上海市|程序技术类 / 申请职位 / 职位描述 / 岗位职责： /  / 1.负责 SDLC 测试领域 AI Agent 体系建设，重点覆盖需求评审、用例评审、测试数据生成及自动化测试等核心场景，驱动测试全流程智能化提效； /  / 2.参与测试 Agent 能力开发与工具链对接，打通需求、代码、接口、缺陷等研发测试数据，支撑测试分析、结果校验与流程闭环； /  / 3.跟进 AI 工程化相关技术，沉淀可复用的测试 Agent 方案、工具能力和知识资产。 /  /  /  / 任职要求： /  / 1.本科及以上学历，计算机、软件工程、人工智能等相关专业优先； /  / 2.具备扎实的计算机基础，理解数据结构、算
80,agent_dev,Agent工程师-系统交付,极智嘉,苏州,,,,https://app.mokahr.com/campus_apply/geekplus/168533#/job/2822c143-cd79-4594-a8f3-ef037b6eb652,"Python:nice_to_have, Java:nice_to_have, RAG:must_have, Prompt Engineering:must_have, MySQL:must_have, Redis:nice_to_have, Spring Boot:must_have",急 / Agent工程师-系统交付 / 分享 / 软件工程类|江苏·苏州市|全职 / 申请职位 / 职位描述 / Responsibilities：- 基于公司WES/IPS核心产品开展项目需求落地与全流程交付工作，依托PUI机制完成项目需求梳理、固化与落地推进，保障需求落地合规、高效。- 聚焦仓储物流业务场景，负责前端客户需求的调研收集、拆解梳理，结合业务现状制定可落地的技术实施方案，并全程跟进方案落地与落地验证工作。- 依托AI原生研发模式开展需求落地工作，借助AI工具高效完成PRD、TDD、功能规格说明书（Function Spec）等文档撰写，常态化参与代码评审（Code Review）及AI自动化单元测试工
86,agent_dev,AI agent技术开发岗,4399,广州,,,,https://hr.4399om.com/campus/graduate/?jobType=campus_kaifalei&jobID=JO20260730001,"Python:must_have, RAG:nice_to_have, Function Calling:must_have, 上下文管理:must_have, Embedding:nice_to_have",[岗位描述] / 1. 参与公司内部 AI 中台建设，基于大语言模型和 Agent 技术，将 AI 能力接入审批、即时通讯、项目管理、数据查询、报表分析等内部系统，让 AI 真正融入员工日常工作，提升公司整体协作与业务效率； /  / 2. 参与 Agent 平台核心能力研发，包括任务规划、工具与 Skill 调用、上下文和记忆管理、工作流编排、人机确认、异常恢复、效果评测及运行监控等，与团队一起把“可以演示的 AI Demo”建设成稳定、可靠、可复用的企业级能力； /  / 3. 与产品、业务及各信息系统研发团队深入沟通，理解真实业务流程，将复杂需求拆解为 Agent 能够理解、执行和评测的任务，让研发成果接受
92,agent_dev,AI Agent工程师（游戏研发方向）,网易游戏,上海,,,,https://campus.game.163.com/app/detail/index?id=4732&projectId=102,"RAG:must_have, SFT/LoRA:must_have, 多模态:must_have, AI Coding:must_have, PyTorch:nice_to_have, TensorFlow:nice_to_have, 多智能体协作:must_have",岗位描述 / 网易互娱持续在不同领域推出爆款游戏，已创造一系列旗舰IP与热门产品，如《梦幻西游》系列、《大话西游》系列、《阴阳师》《燕云十六声》《蛋仔派对》《第五人格》《荒野行动》《率土之滨》《世界之外》等，并将有更多品质新作即将呈现。 / ​加入网易游戏互娱，你将直接参与国内TOP级游戏技术开发，在丰富的产品矩阵中获得深度实战历练；校招生的核心骨干定位，业务倾斜培养资源，多位核心岗位负责人均由校招生成长而来。​ /  / 1.研究前沿AI Agent及AIGC技术，推动其在游戏研发管线中的落地应用，将技术转化为优化游戏生产效率和升级玩家体验的实际解决方案； / 2.设计与开发基于AI Agent的游戏研发工具链
99,agent_dev,AI-Native 开发工程师（后端方向）【2027届】,哔哩哔哩,上海,0,1000,,https://jobs.bilibili.com/campus/positions/29727,"Python:nice_to_have, Java:nice_to_have, Go:nice_to_have, C++:nice_to_have, RAG:must_have, Prompt Engineering:must_have, Docker:nice_to_have, MySQL:must_have, Redis:nice_to_have, Function Calling:must_have, 上下文管理:must_have, AI Coding:must_have, Linux:nice_to_have, 网络协议:nice_to_have, Git:must_have, CI/CD:nice_to_have, Embedding:nice_to_have",AI-Native 开发工程师（后端方向）【2027届】 / 上海全职技术类2026-08-07 发布 /  /  / 职位描述 /  / 工作职责: / 1. 参与猫耳音频直播、虚拟开播、广播剧点播及互动玩法等业务的后端研发。 / 2. 使用 AI 编程工具辅助需求分析、技术方案设计、代码实现、测试和问题排查。 / 3. 参与业务接口、数据处理、任务系统、实时交互和后台服务的设计与开发。 / 4. 参与 AI Workflow、Agent、RAG、知识库等应用的服务端能力建设。 / 5. 参与模型调用、上下文管理、工具调用、流式输出及效果评估等相关功能开发。 / 6. 与产品、前端、算法和测试同学协作，推动需求按计划上线并持续优化。 / 7.
1,ai_application_dev,AI 应用开发工程师,示例公司,北京,15000,25000,CNY,https://hr.example.com/job/1001,"Python:must_have, RAG:must_have, Docker:nice_to_have",岗位职责：负责大模型应用开发，搭建 RAG 检索链路与 Agent 编排，优化 Prompt 工程。任职要求：熟悉 LangChain、LangGraph，精通 Python，了解 Docker 部署。
59,ai_application_dev,平台研发-后端开发工程师（AI 应用方向）全职,米哈游,上海,,,,https://jobs.mihoyo.com/?channelToken=xz2037b7d4-68d44f5a8ebc-0edf28e17574#/campus/position/9250,"Python:nice_to_have, Java:nice_to_have, Go:nice_to_have, C++:nice_to_have, RAG:nice_to_have, MySQL:nice_to_have, Redis:nice_to_have, Function Calling:nice_to_have, AI Coding:must_have, 分布式系统:nice_to_have, 多智能体协作:nice_to_have",平台研发-后端开发工程师（AI 应用方向）全职 / 上海 / 程序&技术类 / 2027届（2026.9-2027.8之间毕业） / 工作职责 / 1.面向用户增长业务，深度参与业务讨论，探索 AI 技术在各场景的落地机会，构建提升业务效率和效果的 AI 能力； / 2.挖掘游戏玩家核心需求，与产品、运营团队协作，打造面向玩家的 AI 创新体验产品； / 3.负责 Agent 应用的性能与稳定性优化，确保系统在高并发场景下的可靠运行； / 4.设计并实现易用高效的 Agent 开发周边工具套件，提升研发效率，降低 Agent 技术的使用门槛，保障交付质量。 / 任职要求 / 1.计算机或相关专业本科及以上学历； / 2.热爱计算机科学和
